ngram,freq1,freq2,LR,LL,Len_Corpus1,Len_Corpus2
feers,392,8,4.398127579003999,235.00214840409336,6752856,3083437
accelerates,207,4,4.3960841012673235,125.34301697838548,6752856,3083437
optics,299,6,4.395014051123042,179.81239991808434,6752856,3083437
geometry,1124,24,4.389399678137957,668.0391087477303,6752856,3083437
illumination,160,3,4.388116141540047,97.4012168135391,6752856,3083437
n-body,113,2,4.373661968878902,69.46960756263846,6752856,3083437
denser,158,3,4.370025684557152,95.97153276951178,6752856,3083437
ether,836,18,4.367809940884752,496.06075167790493,6752856,3083437
triangle,564,12,4.366015157473625,335.439646180094,6752856,3083437
tides,607,13,4.360894672805023,360.55301813602887,6752856,3083437
perimeter,157,3,4.360894672805023,95.25704309066566,6752856,3083437
crepuscular,111,2,4.3480133815082915,68.03595417581454,6752856,3083437
zetetic,1046,23,4.34580932105342,618.0959154004381,6752856,3083437
tectonic,155,3,4.342457424548347,93.82878335083478,6752856,3083437
furthest,110,2,4.3350160409794185,67.31960304582988,6752856,3083437
trajectories,110,2,4.3350160409794185,67.31960304582988,6752856,3083437
shoreline,109,2,4.32190054118916,66.60357660434879,6752856,3083437
utc,109,2,4.32190054118916,66.60357660434879,6752856,3083437
pixels,238,5,4.307455413843563,141.8976703178199,6752856,3083437
aetheric,151,3,4.3048606378906955,90.97522962963589,6752856,3083437
earthers,2444,56,4.304186304068298,1432.1761503010612,6752856,3083437
moon,14487,335,4.301393661056362,8473.23725642261,6752856,3083437
flat,28940,672,4.296453345857813,16911.945850484823,6752856,3083437
experiment,5563,129,4.294010342012961,3251.8250528295553,6752856,3083437
euclid,106,2,4.281823101813824,64.45750554706295,6752856,3083437
horizontally,233,5,4.276888697547713,138.34663594836982,6752856,3083437
gyroscopes,105,2,4.2682126702951715,63.74283884050233,6752856,3083437
perpendicular,357,8,4.263378166890761,210.15484675489563,6752856,3083437
degrees,3210,76,4.260236017146433,1868.207250884922,6752856,3083437
antennas,146,3,4.256443508839992,87.41412096268478,6752856,3083437
cm,313,7,4.254472613668869,184.3279580503151,6752856,3083437
curves,271,6,4.2534102461386185,159.91767963774404,6752856,3083437
haze,145,3,4.246561997326029,86.70271209152008,6752856,3083437
zooming,103,2,4.240600439087312,62.31458038076374,6752856,3083437
outwards,103,2,4.240600439087312,62.31458038076374,6752856,3083437
gravity,6836,165,4.237396369357913,3962.1583628335525,6752856,3083437
nearer,144,3,4.236612336918424,85.9915828168054,6752856,3083437
calculating,267,6,4.231996939622766,157.08525347601346,6752856,3083437
intersect,143,3,4.226593581093432,85.2807369954991,6752856,3083437
lighthouse,183,4,4.218752827876249,108.26543560498742,6752856,3083437
kilometers,264,6,4.215725770448282,154.96265834780348,6752856,3083437
sunrises,101,2,4.212449398773162,60.88780162143643,6752856,3083437
optical,668,16,4.2094312072102475,387.8139801683038,6752856,3083437
zoom,465,11,4.20811697797713,270.6768835147556,6752856,3083437
calculators,140,3,4.1961129746386705,83.1499400406741,6752856,3083437
elliptical,220,5,4.194244803395572,129.13554862316954,6752856,3083437
tilted,220,5,4.194244803395572,129.13554862316954,6752856,3083437
visible,2061,51,4.192019795180195,1188.1007849481807,6752856,3083437
magnetic,1246,31,4.175428820466933,717.4219146583489,6752856,3083437
faq,729,18,4.1703523787642895,420.44683968171177,6752856,3083437
corrections,215,5,4.16115401692715,125.60170706064629,6752856,3083437
angles,1184,30,4.148366722152693,678.9573583799141,6752856,3083437
phases,601,15,4.14726619326455,345.8016690183407,6752856,3083437
astronomer,211,5,4.134123810958002,122.77842848066781,6752856,3083437
dubay,210,5,4.127286380904447,122.07315230790306,6752856,3083437
subquarks,133,3,4.1223825861052985,78.18877774812191,6752856,3083437
ellipse,133,3,4.1223825861052985,78.18877774812191,6752856,3083437
copernicus,133,3,4.1223825861052985,78.18877774812191,6752856,3083437
suns,396,10,4.107901209400567,227.25547380628296,6752856,3083437
observed,2052,54,4.1040237583635895,1166.5849569688949,6752856,3083437
constellations,244,6,4.10229251328649,140.85248932031354,6752856,3083437
feer,167,4,4.087133860378171,96.95349504207594,6752856,3083437
transit,241,6,4.08448123717003,138.7424576410317,6752856,3083437
m/s,278,7,4.083684498206862,159.64076752375274,6752856,3083437
longitudinal,129,3,4.078494942104299,75.36102423638778,6752856,3083437
routes,460,12,4.07224273279196,262.043099269629,6752856,3083437
curve,1664,45,4.062120091416916,939.9737460991228,6752856,3083437
equivalence,344,9,4.049474235736055,195.8316765054205,6752856,3083437
circle,2549,70,4.045488846705115,1434.6312793450943,6752856,3083437
earth,55822,1579,4.012348470950581,31192.48303995383,6752856,3083437
km,3128,89,3.9964811879104305,1745.3495250485087,6752856,3083437
round,8018,229,3.99580789842382,4469.650016219776,6752856,3083437
orbits,1029,29,3.9941266417457615,575.5088745133387,6752856,3083437
spinning,917,26,3.9826854696427247,512.1068343332771,6752856,3083437
disappearing,224,6,3.979173493075404,126.8212679974256,6752856,3083437
calculate,1148,33,3.9684875273955,638.9271796989019,6752856,3083437
relativity,1318,38,3.9669368916450076,732.9946259583176,6752856,3083437
shuttle,290,8,3.963973088629538,163.04059033592173,6752856,3083437
propulsion,119,3,3.962553462398493,68.31712020084936,6752856,3083437
faked,867,25,3.9573361819694766,482.1601090922865,6752856,3083437
angled,150,4,3.9327362517927384,85.01382958254922,6752856,3083437
vantage,150,4,3.9327362517927384,85.01382958254922,6752856,3083437
newtonian,417,12,3.9308177740620387,232.021012687635,6752856,3083437
equations,915,27,3.926097938748026,505.8936267144016,6752856,3083437
fisheye,116,3,3.925872799072025,66.21171641575508,6752856,3083437
axis,848,25,3.9253870840465166,468.95987301923515,6752856,3083437
jupiter,681,20,3.9240594186624747,376.97288707711346,6752856,3083437
calculation,647,19,3.9223757401870167,358.1589596140077,6752856,3083437
re,3358,101,3.9173069728639263,1847.49253543639,6752856,3083437
observable,413,12,3.916928905871899,229.24015126026853,6752856,3083437
rotation,1702,51,3.9159801321915637,937.3114389195123,6752856,3083437
radius,908,27,3.9150245671848047,501.0367189291089,6752856,3083437
transmitter,147,4,3.9036877192822397,82.91663237631411,6752856,3083437
sighting,147,4,3.9036877192822397,82.91663237631411,6752856,3083437
empirical,671,20,3.9027331612847074,370.0337613743919,6752856,3083437
orbit,2929,89,3.9016645338190403,1607.1880824198988,6752856,3083437
sunlight,701,21,3.89707611539315,386.074095721827,6752856,3083437
