ngram,freq1,freq2,LR,LL,Len_Corpus1,Len_Corpus2
accelerator,192,1,5.872793711336456,134.22741819668116,6752856,3083437
antarctic,569,4,5.852668606741148,389.60856298952683,6752856,3083437
vanishing,808,6,5.8277058218079185,550.841564358638,6752856,3083437
latitudes,432,3,5.818242976941832,296.0825045449815,6752856,3083437
neutrinos,182,1,5.795831729521572,126.81184269263395,6752856,3083437
converge,293,2,5.744330174698039,201.08085763655444,6752856,3083437
angular,1109,9,5.736808015228775,750.3754511410659,6752856,3083437
sunset,1917,16,5.729658319507191,1293.8569419090122,6752856,3083437
spheroid,397,3,5.696497704589462,270.2596755131649,6752856,3083437
bedford,279,2,5.673817954431176,190.74484427768195,6752856,3083437
curving,272,2,5.637225901252275,185.58052854822424,6752856,3083437
balloons,379,3,5.629642729833211,256.996922917392,6752856,3083437
everest,270,2,5.626598265414802,184.10548703423237,6752856,3083437
acceleration,2966,27,5.622227930410681,1985.74823629644,6752856,3083437
refracted,161,1,5.619469430448118,111.25957123716265,6752856,3083437
sagnac,692,6,5.604272119270807,465.43554322282944,6752856,3083437
gps,2286,21,5.601702025580214,1529.1379752441608,6752856,3083437
circumnavigation,157,1,5.583287094141471,108.30082368284191,6752856,3083437
